TREATMENT,REPLICATE,clone,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96
STATIC,1,1,0.37,0.583,0.737,0.842,0.971,0.702,0.966,0.979,0.588,0.653,0.757,1.013,0.655,0.677,0.945,0.982,0.841,0.682,0.527,1.151,0.214,0.877,0.889,0.503,0.674,0.947,0.697,0.665,1.002,0.818,0.673,0.421,0.529,0.828,0.53,0.664,0.186,0.69,0.673,0.516,0.562,0.736,0.669,0.899,1.056,0.901,0.631,0.745,0.404,0.672,0.681,1.03,0.931,0.946,0.791,0.775,0.44,0.566,0.73,0.54,0.657,1.07,0.215,0.724,0.544,0.64,0.519,0.877,0.671,0.997,0.617,0.671,0.819,0.592,0.582,0.098,1.046,1.075,0.693,1.076,0.579,0.681,0.611,0.614,0.533,0.647,0.6,1.199,0.393,0.674,0.574,0.841,0.955,0.694,0.597,0.844
,,2,0.341,0.384,0.47,0.487,0.776,0.511,0.574,0.853,0.631,0.33,0.431,0.528,0.361,0.59,0.602,0.499,0.616,0.372,0.412,0.515,0.083,0.391,0.701,0.374,0.529,0.403,0.453,0.6,0.434,0.437,0.402,0.33,0.456,0.586,0.382,0.663,0.092,0.725,0.371,0.494,0.413,0.705,0.609,1.062,0.458,0.496,0.406,0.316,0.26,0.443,0.447,0.738,0.456,0.504,0.4,0.566,0.394,0.507,0.835,0.43,0.382,0.964,0.064,0.496,0.762,0.446,0.533,0.524,0.436,0.705,0.51,0.43,0.773,0.432,0.404,0.106,0.93,0.679,0.443,0.493,0.488,0.671,0.373,0.466,0.357,0.449,0.348,0.7,0.285,0.497,0.495,0.621,0.575,0.486,0.48,0.615
,,3,0.304,0.418,0.44,0.512,0.699,0.444,0.572,0.889,0.318,0.315,0.428,0.619,0.529,0.592,0.648,0.549,0.597,0.41,0.363,0.662,0.096,0.355,0.472,0.387,0.576,0.623,0.511,0.673,0.619,0.398,0.42,0.384,0.418,0.585,0.404,0.751,0.103,0.687,0.371,0.579,0.446,0.625,0.742,0.757,0.473,0.647,0.434,0.368,0.353,0.433,0.901,0.994,0.411,0.504,0.376,0.649,0.306,0.455,0.411,0.412,0.646,0.869,0.072,0.584,0.562,0.517,0.345,0.516,0.444,0.615,0.518,0.447,0.537,0.499,0.381,0.107,0.892,0.461,0.482,0.495,0.398,0.467,0.395,0.526,0.381,0.431,0.394,0.736,0.407,0.398,0.54,0.61,0.618,0.515,0.515,0.749
,,4,0.357,0.376,0.438,0.507,0.866,0.482,0.57,0.878,0.484,0.331,0.368,0.653,0.51,0.622,0.69,0.607,0.639,0.404,0.323,0.544,0.092,0.448,0.451,0.376,0.499,0.392,0.393,0.442,0.504,0.486,0.484,0.385,0.591,0.532,0.334,0.437,0.094,0.64,0.414,0.551,0.403,0.609,0.41,0.659,0.495,0.594,0.474,0.375,0.349,0.503,0.416,0.675,0.482,0.451,0.393,0.602,0.331,0.603,0.494,0.478,0.419,1.007,0.072,0.552,0.534,0.521,0.38,0.509,0.418,0.704,0.518,0.466,0.637,0.411,0.351,0.113,0.768,0.584,0.482,0.341,0.404,0.491,0.405,0.571,0.38,0.485,0.367,0.53,0.348,0.439,0.501,0.584,0.55,0.472,0.478,0.591
,,5,0.463,0.449,0.479,0.581,0.883,0.479,0.702,0.894,0.503,0.403,0.471,0.726,0.516,0.548,0.827,0.635,0.692,0.423,0.395,0.76,0.083,0.527,0.529,0.499,0.694,0.515,0.705,0.548,0.767,0.559,0.552,0.439,0.467,0.634,0.419,0.576,0.091,0.626,0.585,0.477,0.478,0.578,0.447,0.626,0.653,0.744,0.581,0.532,0.389,0.496,0.547,0.71,0.508,0.592,0.594,0.695,0.448,0.552,0.526,0.445,0.408,1.026,0.058,0.599,0.533,0.509,0.47,0.576,0.516,0.75,0.454,0.538,0.739,0.472,0.417,0.082,0.759,0.685,0.423,0.518,0.501,0.546,0.442,0.583,0.478,0.463,0.454,0.642,0.423,0.534,0.548,0.515,0.566,0.525,0.615,0.622
,,6,0.283,0.301,0.346,0.425,0.677,0.457,0.526,0.494,0.414,0.303,0.358,0.486,0.387,0.568,0.601,0.59,0.515,0.359,0.369,0.524,0.084,0.38,0.378,0.415,0.496,0.358,0.447,0.362,0.484,0.424,0.381,0.37,0.322,0.684,0.37,0.454,0.083,0.59,0.376,0.394,0.445,0.784,0.418,0.815,0.637,0.497,0.523,0.395,0.345,0.509,0.479,0.877,0.551,0.454,0.356,0.748,0.415,0.446,0.48,0.617,0.3,0.765,0.085,0.626,0.493,0.398,0.411,0.511,0.488,0.628,0.433,0.469,0.671,0.358,0.324,0.18,0.737,0.554,0.455,0.444,0.452,0.419,0.411,0.478,0.377,0.457,0.352,0.502,0.42,0.398,0.529,0.554,0.584,0.466,0.529,0.832
,,7,0.352,0.618,0.418,0.405,0.836,0.486,0.608,0.851,0.468,0.433,0.399,0.511,0.441,0.508,0.943,0.6,0.513,0.596,0.372,0.537,0.101,0.444,0.421,0.37,0.873,0.48,0.46,0.376,0.471,0.502,0.366,0.368,0.348,0.618,0.403,0.419,0.096,0.586,0.351,0.483,0.457,0.821,0.5,0.631,0.428,0.492,0.45,0.362,0.344,0.474,0.469,0.663,0.513,0.445,0.412,0.684,0.31,0.412,0.457,0.408,0.376,0.645,0.129,0.498,0.446,0.52,0.483,0.697,0.496,0.798,0.517,0.456,0.599,0.402,0.356,0.099,0.741,0.59,0.483,0.431,0.441,0.452,0.42,0.572,0.397,0.402,0.291,0.56,0.355,0.394,0.57,0.502,0.575,0.488,0.456,0.689
,,8,0.354,0.396,0.458,0.59,0.846,0.647,0.57,0.888,0.384,0.334,0.526,0.75,0.661,0.574,0.757,0.702,0.561,0.421,0.395,0.749,0.09,0.403,0.696,0.413,0.474,0.403,0.464,0.646,0.584,0.54,0.52,0.397,0.459,0.604,0.455,0.846,0.091,0.668,0.386,0.551,0.467,0.747,0.473,0.768,0.644,0.541,0.473,0.452,0.365,0.495,0.431,1.119,0.452,0.528,0.422,0.657,0.394,0.475,0.607,0.506,0.488,0.915,0.083,0.57,0.549,0.475,0.449,0.864,0.578,0.634,0.434,0.6,0.633,0.391,0.315,0.096,0.937,0.701,0.535,0.715,0.537,0.446,0.441,0.602,0.332,0.544,0.342,0.839,0.295,0.393,0.607,0.574,0.718,0.548,0.444,0.71
,,9,0.28,0.3,0.471,0.689,0.728,0.419,0.619,0.752,0.559,0.441,0.525,0.583,0.396,0.615,0.659,0.436,0.996,0.5,0.38,0.493,0.086,0.339,0.467,0.396,0.657,0.737,0.544,0.405,0.485,0.312,0.336,0.29,0.794,0.781,0.477,0.693,0.077,0.503,0.435,0.415,0.577,1.198,0.724,0.821,0.597,0.473,0.45,0.359,0.53,0.832,0.901,0.853,0.609,0.542,0.472,0.495,0.458,0.651,0.951,0.545,0.501,0.84,0.168,0.483,0.452,0.584,0.59,0.701,0.524,0.765,0.313,0.427,0.691,0.455,0.507,0.18,0.801,0.727,0.425,0.52,0.369,0.784,0.499,0.487,0.348,0.38,0.375,0.626,0.404,0.629,0.619,0.718,0.71,0.467,0.427,0.581
,,10,0.479,0.466,0.564,0.812,1.204,0.564,0.831,0.677,0.528,0.507,0.599,0.889,0.774,0.786,0.805,0.924,0.822,0.725,0.698,0.956,0.265,0.7,0.769,0.349,0.646,0.788,0.783,0.719,0.798,0.608,0.55,0.583,0.536,0.847,0.65,1,0.087,0.529,0.579,0.657,0.66,0.942,0.74,1.115,0.711,0.673,0.634,0.57,0.49,0.661,0.799,1.125,0.642,0.753,0.634,0.726,0.473,0.8,0.848,0.705,0.511,0.983,0.214,0.678,0.568,0.696,0.602,0.818,0.631,0.779,0.497,0.504,0.765,0.732,0.58,0.186,0.762,0.787,0.612,0.592,0.555,0.617,0.545,0.602,0.535,0.645,0.485,0.87,0.563,0.521,0.486,0.605,0.871,0.55,0.506,0.777
