Treatment,Environment,White ,Blue,Fraction white,White ,Blue,Fraction white
S1,STATIC,78,164,0.32231405,163,117,0.582142857
S2,STATIC,117,183,0.39,186,168,0.525423729
S3,STATIC,51,76,0.401574803,172,148,0.5375
S4,STATIC,70,134,0.343137255,152,142,0.517006803
S5,STATIC,84,120,0.411764706,111,111,0.5
S6,STATIC,87,142,0.379912664,153,161,0.487261146
M1,STATIC,96,102,0.484848485,179,133,0.573717949
M2,STATIC,134,119,0.529644269,141,111,0.55952381
M3,STATIC,98,123,0.443438914,135,105,0.5625
M4,STATIC,129,156,0.452631579,146,132,0.525179856
M5,STATIC,144,126,0.533333333,205,145,0.585714286
M6,STATIC,111,97,0.533653846,157,112,0.583643123
S1,MIXED,78,164,0.32231405,88,134,0.396396396
S2,MIXED,117,183,0.39,82,82,0.5
S3,MIXED,51,76,0.401574803,70,101,0.409356725
S4,MIXED,70,134,0.343137255,71,140,0.336492891
S5,MIXED,84,120,0.411764706,61,99,0.38125
S6,MIXED,87,142,0.379912664,86,120,0.417475728
M1,MIXED,96,102,0.484848485,91,85,0.517045455
M2,MIXED,134,119,0.529644269,111,88,0.557788945
M3,MIXED,98,123,0.443438914,127,112,0.531380753
M4,MIXED,129,156,0.452631579,153,89,0.632231405
M5,MIXED,144,126,0.533333333,62,55,0.52991453
M6,MIXED,111,97,0.533653846,100,63,0.613496933
